place_id,title,rating,reviews,price,categories,link
JXG6tLWNHHSykck2JXuC3g,BurgerFuel Spitfire Square,4.5,4,$$,"Burgers, Fast Food",https://www.yelp.com/biz/burgerfuel-spitfire-square-christchurch?osq=Restaurant
burgerfuel-spitfire-square-christchurch,BurgerFuel Spitfire Square,4.5,4,$$,"Burgers, Fast Food",https://www.yelp.com/biz/burgerfuel-spitfire-square-christchurch?osq=Restaurant
jQpxVmSuo1zF8CiBAaKCUw,Rose Cafe,4.5,2,,"Antiques, Cafes",https://www.yelp.com/biz/rose-cafe-christchurch?osq=Restaurant
rose-cafe-christchurch,Rose Cafe,4.5,2,,"Antiques, Cafes",https://www.yelp.com/biz/rose-cafe-christchurch?osq=Restaurant
IM8m-z1qhIxKQLWJuBGCwg,St Germain,4.0,3,$$$,French,https://www.yelp.com/biz/st-germain-christchurch?osq=Restaurant
st-germain-christchurch,St Germain,4.0,3,$$$,French,https://www.yelp.com/biz/st-germain-christchurch?osq=Restaurant
DS4o6Xq0335EjceFQJ6adg,Zaffron,4.7,3,,"Vietnamese, Thai",https://www.yelp.com/biz/zaffron-christchurch?osq=Restaurant
zaffron-christchurch,Zaffron,4.7,3,,"Vietnamese, Thai",https://www.yelp.com/biz/zaffron-christchurch?osq=Restaurant
XSJTLyGLOvehTV9lFQmqhA,Kinji Japanese Restaurant,4.5,6,$$$,Japanese,https://www.yelp.com/biz/kinji-japanese-restaurant-christchurch?osq=Restaurant
kinji-japanese-restaurant-christchurch,Kinji Japanese Restaurant,4.5,6,$$$,Japanese,https://www.yelp.com/biz/kinji-japanese-restaurant-christchurch?osq=Restaurant
wYiiSJ8D-B0sFHcA-ioWqg,Thai Container,4.0,10,$$,Thai,https://www.yelp.com/biz/thai-container-christchurch?osq=Restaurant
thai-container-christchurch,Thai Container,4.0,10,$$,Thai,https://www.yelp.com/biz/thai-container-christchurch?osq=Restaurant
5aSFsf5QbevEYxH3KTkRKA,Amaterrace Teppanyaki,4.0,2,,Teppanyaki,https://www.yelp.com/biz/amaterrace-teppanyaki-christchurch?osq=Restaurant
amaterrace-teppanyaki-christchurch,Amaterrace Teppanyaki,4.0,2,,Teppanyaki,https://www.yelp.com/biz/amaterrace-teppanyaki-christchurch?osq=Restaurant
NbKSaN-diw8E4S2ub2hXsQ,Aroy Thai Restaurant,5.0,2,,Restaurants,https://www.yelp.com/biz/aroy-thai-restaurant-christchurch?osq=Restaurant
aroy-thai-restaurant-christchurch,Aroy Thai Restaurant,5.0,2,,Restaurants,https://www.yelp.com/biz/aroy-thai-restaurant-christchurch?osq=Restaurant
o0io1bT7fN4rsam461_j_g,Fox & Ferret Public Ale House,4.0,1,,New Zealand,https://www.yelp.com/biz/fox-and-ferret-public-ale-house-christchurch?osq=Restaurant
fox-and-ferret-public-ale-house-christchurch,Fox & Ferret Public Ale House,4.0,1,,New Zealand,https://www.yelp.com/biz/fox-and-ferret-public-ale-house-christchurch?osq=Restaurant
im25Oy9g8lXb8UHGKErYiQ,Spice Paragon,3.8,5,,Thai,https://www.yelp.com/biz/spice-paragon-christchurch-central?osq=Restaurant
spice-paragon-christchurch-central,Spice Paragon,3.8,5,,Thai,https://www.yelp.com/biz/spice-paragon-christchurch-central?osq=Restaurant
xY8ObYwNWUGknGmZNSvBXQ,Prince of Persia,4.0,1,$$,"Persian/Iranian, Afghan",https://www.yelp.com/biz/prince-of-persia-christchurch?osq=Restaurant
prince-of-persia-christchurch,Prince of Persia,4.0,1,$$,"Persian/Iranian, Afghan",https://www.yelp.com/biz/prince-of-persia-christchurch?osq=Restaurant
