place_id,data_id,title,address,lat,lon,type,rating,reviews_count,url,search_query,start_offset,serpapi_search_id,unique_key
ChIJQRbPggKJMW0R0_ZxXQdgWGs,0x6d31890282cf1641:0x6b5860075d71f6d3,Chinese Home Kitchen,"346 Ferry Road, Waltham, Christchurch 8011, New Zealand",-43.5424441,172.6644378,Chinese takeaway,4.5,224.0,,"takeaways in Christchurch, New Zealand",20,6915063cd02d2aa8ebe23f86,ChIJQRbPggKJMW0R0_ZxXQdgWGs
ChIJ1fY-uQiKMW0R66qqeDuVYcc,0x6d318a08b93ef6d5:0xc761953b78aaaaeb,Sushi Cafe,"289 Colombo Street, Sydenham, Christchurch 8023, New Zealand",-43.5497108,172.6364786,Japanese restaurant,4.5,224.0,,"japanese restaurant in Christchurch, New Zealand",40,691506ccc29c3db01a7f4a7c,ChIJ1fY-uQiKMW0R66qqeDuVYcc
ChIJC5d463yJMW0RV_86IicDGAY,0x6d31897ceb78970b:0x6180327223aff57,Mainland Turkish Food Shirley,"5/204 Hills Road, Edgeware, Christchurch 8013, New Zealand",-43.5086592,172.652211,Turkish restaurant,4.2,224.0,,"takeaways in Christchurch, New Zealand",80,691506465abea5a24bf14952,ChIJC5d463yJMW0RV_86IicDGAY
ChIJvTm8MjyLMW0R_jv2ptuWeIw,0x6d318b3c32bc39bd:0x8c7896dba6f63bfe,Cheers &Karaoke Bar&Taiwanese Fusion Cuisine (My Kitchen),"NZ/269 Cashel Street, Christchurch Central City, Christchurch 8011, New Zealand",-43.5329723,172.6461658,Taiwanese restaurant,4.4,224.0,,"asian restaurant in Christchurch, New Zealand",100,691506a6bdfe49c1e9237faa,ChIJvTm8MjyLMW0R_jv2ptuWeIw
ChIJA4XXk5UnMm0RTUxcF93GXv8,0x6d32279593d78503:0xff5ec6dd175c4c4d,NORI TABLE - The Tannery,"New Zealand, Christchurch, Woolston, Garlands Rd",-43.557618999999995,172.68004689999998,Japanese restaurant,4.8,223.0,,"japanese restaurant in Christchurch, New Zealand",0,691506c373d224b8f8a86b78,ChIJA4XXk5UnMm0RTUxcF93GXv8
ChIJq-47dQaJMW0R2wegojV0GFU,0x6d318906753beeab:0x55187435a2a007db,Hopkins Street Takeaway,"61 Hopkins Street, Woolston, Christchurch 8023, New Zealand",-43.5483622,172.66857589999998,Fast food restaurant,4.7,223.0,,"takeaways in Christchurch, New Zealand",40,6915063ffdfbabd7c21003cf,ChIJq-47dQaJMW0R2wegojV0GFU
ChIJGyqBZy6KMW0RgXZoFSa7_6E,0x6d318a2e67812a1b:0xa1ffbb2615687681,Two Thumb Brewing Co. on Manchester,"352 Manchester Street, Christchurch, 8013, New Zealand",-43.5216043,172.640133,Bar,4.7,221.0,,"bars in Christchurch, New Zealand",80,691506303047f3057eaf98e1,ChIJGyqBZy6KMW0RgXZoFSa7_6E
ChIJnZrw3ViLMW0RoM8CqpCBJv8,0x6d318b58ddf09a9d:0xff268190aa02cfa0,The Hokitika Sandwich Company - Christchurch,"129 High Street, Christchurch Central City, Christchurch 8011, New Zealand",-43.5362496,172.64222519999998,Sandwich shop,4.9,220.0,,"takeaways in Christchurch, New Zealand",0,691506381de0640225bc719b,ChIJnZrw3ViLMW0RoM8CqpCBJv8
ChIJt4_-GRCKMW0Rl145tXTawBA,0x6d318a1019fe8fb7:0x10c0da74b5395e97,Churchills Tavern,"54 Battersea Street, Sydenham, Christchurch 8023, New Zealand",-43.543799299999996,172.6360976,Pub,4.1,217.0,,"bars in Christchurch, New Zealand",40,6915062750d43e018eff46ef,ChIJt4_-GRCKMW0Rl145tXTawBA
ChIJ1YTpLM-JMW0RyE3XK6pX1GY,0x6d3189cf2ce984d5:0x66d457aa2bd74dc8,Imperial Indian Takeaway,"1/378 Worcester Street, Linwood, Christchurch 8011, New Zealand",-43.5310248,172.6564909,Restaurant,4.3,216.0,,"indian restaurant in Christchurch, New Zealand",60,691506e7556ce3627c5e66e1,ChIJ1YTpLM-JMW0RyE3XK6pX1GY
